2,0.7015127679,0.1307164411
4,0.7926169581,0.2218206313
8,0.5221061872,0.0486901396
16,0.5368248922,0.0339714346
32,0.5935178851,0.0227215583
64,0.6575783012,0.0867819744
128,0.5811890929,0.0103927661
256,0.5582080874,0.0125882394
512,0.5723731371,0.0015768103
1024,0.5660994584,0.0046968684
2048,0.5711710941,0.0003747673
4096,0.5691184857,0.0016778411
8192,0.5639243979,0.0068719289
16384,0.5708222416,0.0000259148
32768,0.5706461071,0.0001502197
65536,0.5713775678,0.0005812410
131072,0.5709699029,0.0001735761
262144,0.5710495391,0.0002532123
524288,0.5706947119,0.0001016149
1048576,0.5705249157,0.0002714111
2097152,0.5708983288,0.0001020020
