5.9913049997,6.4674068139,-0.6931471806
6.8001481844,6.5105458547,-1.3862943611
5.1293489715,5.8382898213,-2.0794415417
4.9249856000,2.6525798217,-2.7725887222
-0.8467071280,5.8382898213,-3.4657359028
4.6136160551,5.7519715618,-4.1588830834
3.9668271627,4.9241044929,-4.8520302639
4.3792462653,2.6525798217,-5.5451774445
3.3306269405,1.3633607564,-6.2383246250
3.2396817818,3.4714340214,-6.9314718056
2.6456600150,2.1907933312,-7.6246189862
3.0542702420,1.8686637627,-8.3177661667
1.0296447803,1.9632184897,-9.0109133473
1.5879753074,1.6878998011,-9.7040605278
1.6038429536,1.5837468114,-10.3972077084
0.6078820799,-0.4212215517,-11.0903548890
-0.5227357095,0.2614603122,-11.7835020695
-1.3755330386,-0.0405643404,-12.4766492501
0.1684603524,0.9387012521,-13.1697964306
-1.8123137717,-0.6769787519,-13.8629436112
-0.5431787007,-0.3074600534,-14.5560907918
-0.3695987948,-0.2563463694,-15.2492379723
-2.3320127521,-0.2595551654,-15.9423851529
