-1.098612, 5.18077986458034605525
-1.609438, 2.82572903842190330140
-1.945910, 1.29769252898492896086
-2.197225, 0.18144013151014777960
-2.397895, -0.69486573986995844550
-2.564949, -1.41522965885557061279
-2.708050, -2.02642303772520550645
-2.833213, -2.55702575767816593904
-2.944439, -3.02573716245166201622
-3.044522, -3.44544493774822157455
-3.135494, -3.82540100100732407087
-3.218876, -4.17246857843284739377
-3.295837, -4.49187784364176695071
-3.367296, -4.78770513806388676959
-3.433987, -5.06318866473459486916
-3.496508, -5.32094325500281817342
-3.555348, -5.56311055881891523833
-3.610918, -5.79146661468726692366
-3.663562, -6.00750052132151968415
-3.713572, -6.21247304464916815132
-3.761200, -6.40746099895158489814
-3.806662, -6.59339135164877131233
-3.850148, -6.77106777770481740473
-3.891820, -6.94119158549727209443
-3.931826, -7.10437838631745788081
-3.970292, -7.26117150337519784041
-4.007333, -7.41205285919637323674
-4.043051, -7.55745188880908270969
-4.077537, -7.69775289061708904714
-4.110874, -7.83330113674608034379
-4.143135, -7.96440798395451873132
-4.174387, -8.09135517001791957671
-4.204693, -8.21439845848416364416
-4.234107, -8.33377073138506145166
-4.262680, -8.44968464217090915215
-4.290459, -8.56233489005741595177
-4.317488, -8.67190018547176547353
-4.343805,-8.77854495712240614439
-4.369448, -8.88242082715269005034
-4.394449,-8.98366791463521794595
-4.418841, -9.08241596422372522105
-4.442651, -9.17878535198657710681
-4.465908, -9.27288795739231433944
-4.488636, -9.36482795250446614123
-4.510860, -9.45470248861036649275
-4.532599, -9.54260231670700824567
-4.553877, -9.62861234010783049141
-4.574711, -9.71281209028168875975
-4.595120, -9.79527619580996077118
-4.615121, -9.87607475678829016021
